Dates,MISC MK Equity,PBK MK Equity,HAP MK Equity,KLK MK Equity,HLBK MK Equity,PTG MK Equity,TOPG MK Equity,GENM MK Equity,DIGI MK Equity,CIMB MK Equity,SUCB MK Equity,AXIATA MK Equity,PEP MK Equity,MAXIS MK Equity,HART MK Equity,SIME MK Equity,PCHEM MK Equity,NESZ MK Equity,DLG MK Equity,MAY MK Equity,TNB MK Equity,PETD MK Equity,T MK Equity,GENT MK Equity,IOI MK Equity,HLFG MK Equity,RHBBANK MK Equity,SDPL MK Equity,IHH MK Equity,PMAH MK Equity,MRDIY MK Equity,KLCCSS MK Equity,AMM MK Equity,MAHB MK Equity,IJM MK Equity,ROTH MK Equity,YTL MK Equity,WPRTS MK Equity,ASTRO MK Equity,SAPE MK Equity,UMWH MK Equity,FGV MK Equity,IOIPG MK Equity,UEMS MK Equity,BAB MK Equity,YTLP MK Equity,MMHE MK Equity,AAGB MK Equity,GAM MK Equity
2011-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-27,-0.15944008030213186,-0.0006687668398534011,0.45425646304912115,0.013209301805589067,-0.05947360983765337,0.015757654315865288,-0.017293493309872395,0.4261432680966336,0.8915172842975732,-0.0338082242968779,0.6900209716523448,0.021243910328399233,-0.0035999670059271723,0.06689772268491866,0.04081242003705162,0.05250037651118404,6.646688952594343e-06,0.37768275826912673,0.0027300575414675008,-0.00014499129544654087,0.016497923475418556,-0.0025844531175339084,0.282123410312524,0.24765990163257515,0.38312381430310943,1.7683834722532334e-07,-0.21758465586536516,,,1.8789986601327253e-07,,-0.0464897712060607,-0.0975543118487197,-0.00643464495771837,-1.593722531011984e-05,0.33311110022279816,0.16825676060949288,,,,-0.1582022095342778,,,0.02979510732812787,0.0811535494902258,-0.00600546906685218,-0.1487296606213675,0.12195869517564832,0.013060807499060098
2011-12-28,-0.16971837283923966,-0.0002507506565027875,0.4567906314450233,0.015980355208450217,-0.04888771223128604,0.02003534667378252,-0.008544238121174292,0.43454315000928706,0.9110477489895419,-0.02681048819159532,0.8100425922101019,0.02666231064766076,-0.002959231614421336,0.06928178414717874,0.0439789472628323,0.06334666067085636,3.473185726408699e-05,0.3932396107820166,0.005455376547623448,-4.521333493802033e-05,0.026963922697715144,-0.002216779853783906,0.29190615488727256,0.278686839999403,0.3892571021611491,2.815693083097104e-05,-0.2073915432658029,,,5.090994588953367e-06,,-0.042859530445860564,-0.08804375379324307,-0.0065034264871933435,-1.4651898737285719e-08,0.3506279957866911,0.17455574941735613,,,,-0.14557244811155737,,,0.04849708215980863,0.1055607295874673,-0.00418406094238582,-0.1437656991751415,0.12972507602932876,0.01817552918518202
2011-12-29,-0.17788050800661823,-4.587602815708448e-05,0.45299785116271046,0.018183295739845323,-0.03974107132190586,0.02642901511605036,-0.0031227715235358625,0.43544260438301147,0.9285089397660178,-0.02025618097257645,0.9295468972403255,0.03315713856998677,-0.0019346353296166494,0.07244112014494941,0.046106984592651286,0.07313894766814241,0.0001478217811349673,0.40760017728292935,0.009510256400390089,-8.577618794750516e-06,0.04150533515061747,-0.0017090125544879553,0.30142189396190827,0.30805237778529343,0.3921648602059774,0.00011037716860441135,-0.1948114965071492,,,3.120971693146881e-05,,-0.03145114490562902,-0.07764703391711857,-0.005503409158005694,2.5787574558175436e-06,0.3613478478138456,0.18666047731102425,,,,-0.13119262485100727,,,0.0722867535553555,0.1331355458074224,-0.002879815793052297,-0.136549656175714,0.13606325625065818,0.02673455054187541
2011-12-30,-0.18428190467767525,-1.294460124921177e-07,0.4616788416268402,0.025127841462753212,-0.029628353098948707,0.03536056844032085,-0.0006362204044344972,0.44712142514995584,0.9480387329224226,-0.013603503950615499,1.058534833388983,0.045015870125528955,-0.0009522546191526047,0.07614235408475006,0.049142087823804435,0.08468375163021014,0.0006234691416164548,0.4232091377759402,0.017376234166942058,5.1287202928995435e-08,0.06549397588401362,-0.0007759758961335009,0.31384735906298344,0.344823703870841,0.4084871259487731,0.00046135229456043626,-0.176586015811759,,,0.00026084406149107226,,-0.020780898940083427,-0.06570556354465719,-0.004240540462925293,5.7200342912204126e-05,0.3790892744126605,0.2010822766837309,,,,-0.11727017947498623,,,0.11043817846060809,0.17167899040875287,-0.001707888277068632,-0.1283026585841033,0.15857240711815068,0.04089373481189211
2012-01-03,-0.19021221885494619,2.5867191037478996e-05,0.46985974218095844,0.0336084237459873,-0.020612026017337807,0.04942646676859661,-3.9819956470229945e-06,0.4510193096020199,0.9717039473091446,-0.007697749885036495,1.1981281130672625,0.06020116154796763,-0.00044917015142227775,0.08026736605313883,0.05566838439534002,0.1027918802288198,0.0015633080614351974,0.43727247878715036,0.034912817507665866,3.166159746613176e-05,0.09122017708895622,-0.0002581134597010383,0.32593449746060343,0.38085240392344,0.4229936912742722,0.0013482924308715182,-0.15856444084046398,,,0.0008975588785880572,,-0.01428982780103566,-0.055860653820420554,-0.002824179080967441,0.00026207684223459525,0.3955235464600934,0.20751384874317014,,,,-0.10041680286149741,,,0.1606508402855115,0.21355065710508453,-0.0009226686600257449,-0.12048066422446767,0.1864984948137281,0.05522094375730192
2012-01-04,-0.19132946974621987,0.00020761075040985367,0.4839567479552204,0.045360550683719324,-0.013485669081582009,0.06483902215008645,0.00025196880095945944,0.46735969731809746,0.9911105317514317,-0.0034475752930106015,1.3667328197437778,0.07539923979411928,-0.00012512715589995394,0.08521000674239959,0.0637711917261944,0.12162995030124073,0.003727358932794761,0.45048039124605826,0.061377004051668765,0.00022624620634474128,0.1264736683287294,-3.001922065171649e-05,0.33670893686421416,0.42788441720342424,0.4345959864381551,0.003318726105730535,-0.14094405247963157,,,0.0023631893049248986,,-0.009169299363235399,-0.048902843701499644,-0.0018850140058231763,0.0007523970575712839,0.4103145529485746,0.21861184410744694,,,,-0.08448316910640222,,,0.22623032923128703,0.2587669293137308,-0.000246074362077057,-0.111351620511528,0.21251105546357957,0.08145222837791997
2012-01-05,-0.18946233232039728,0.0006400592170322852,0.47942477629287406,0.05515444172102702,-0.00862295940483007,0.07686748849115337,0.002682764502241219,0.47471093363560424,1.0014900664332818,-0.0015404989279779778,1.5277028867625844,0.08545905904344742,-3.0509390516152634e-05,0.08933872716831957,0.06800795129009511,0.13881791170684496,0.005984728213352869,0.46412042180690644,0.09468463406510334,0.0005925492817424727,0.15768703284652677,-1.0062778549523835e-05,0.3421971620592764,0.4583843279563889,0.4318425884293206,0.006200255120877114,-0.1251237518924292,,,0.004386323319013299,,-0.0050774739126181285,-0.0455041728536954,-0.001387903005819739,0.0014147176227181655,0.424806394052287,0.2157146637839586,,,,-0.07060496369855551,,,0.26927212655714683,0.29822148355416833,-4.951712511614333e-05,-0.10454626591851134,0.22942759851739192,0.10811868640722401
2012-01-06,-0.1821158674428405,0.0013982381269917281,0.468941422511684,0.071749098935944,-0.004660841564295984,0.09511183135567215,0.008596194076929457,0.47984365504513316,1.0197321968275184,-0.0004905804235845178,1.6626540790868398,0.09370131455669724,-2.7956008654994084e-07,0.09265576540907923,0.07301867320284243,0.15231223690460685,0.009896200829074674,0.4789052363494832,0.12637460035780854,0.0010810376085618474,0.18147683854628227,2.2467965393583192e-09,0.3493980497142119,0.4785879627863381,0.42778036422054905,0.010582202562909909,-0.10715083907046638,,,0.007469708037151815,,-0.0021809245088068685,-0.04049290922258497,-0.0009223281532596219,0.0021709580800371346,0.4497694119247916,0.21735145932556213,,,,-0.05793381734220647,,,0.31507499077477225,0.34129706423563433,-2.819393369745311e-07,-0.0986453832081393,0.24436332597043775,0.13731275050656322
2012-01-09,-0.17507644023483324,0.002535221776378568,0.459318755120297,0.08708150436907887,-0.002031794673898467,0.11137314804210866,0.019935566621395027,0.479022013160191,1.040889231499769,-7.355918902932731e-05,1.7901933570942499,0.11002568256739395,1.0523068760952994e-05,0.09922242809299392,0.08053498387384926,0.17103129784025967,0.013444542282092957,0.48724376834174443,0.16405373399605244,0.002067014015606061,0.20645188204087403,7.995609910865802e-06,0.35609560468776685,0.49568189381396277,0.4203947891527558,0.016376457395915412,-0.09069322576130577,,,0.01040423979487766,,-0.0003199405907798133,-0.03534928479723451,-0.0004959664638810896,0.003127813226448639,0.4672249077069574,0.21493434848515086,,,,-0.04669486473627466,,,0.3639094589455813,0.3921500543586969,2.658764543740291e-05,-0.09309151991881902,0.26432298788270786,0.16216866283741677
2012-01-10,-0.16510738927771537,0.004568164491303281,0.4575930634528372,0.10682633746753388,-0.0006298925968626015,0.13231820813506595,0.03665822249019561,0.48421970310665746,1.0537259642864354,4.213689392436614e-07,1.893519716605526,0.1296814606934004,0.00012370699051548087,0.1079933058387017,0.08857325329847787,0.18821443379049901,0.01851542979147343,0.49960157201754757,0.21051567868806012,0.003384210933921423,0.23637773868023168,6.288297031213083e-05,0.36751109425343054,0.5213201397924215,0.42390709721783104,0.025465598906868045,-0.07523334728157802,,,0.01579076292502346,,-1.004042883808524e-06,-0.030502176614044814,-0.00019683718571542012,0.004606058919314962,0.49334372638425605,0.221837202067925,,,,-0.035774843554599776,,,0.4281231324709815,0.45448009276073703,0.00025522154495747853,-0.08349212269860261,0.2804326185723654,0.1949320647840089
2012-01-11,-0.15725554542030348,0.008084472928072897,0.45776559226404856,0.12831799547848075,-6.693712513679399e-05,0.15634502740937,0.06454301848535758,0.4739335726158563,1.0707691548846736,5.1547061677696966e-05,1.9678919467534035,0.14214551790511962,0.0002947232101144893,0.11732003083707945,0.0952489748813752,0.20009941409815987,0.025801256223062695,0.510474354922305,0.24930666068869872,0.005390867603146315,0.26673002740544216,0.000311169373014398,0.3794460450128774,0.5276609521977278,0.4299410782798998,0.03686239401672934,-0.06205456570781811,,,0.021990517552294,,2.6941680449722476e-05,-0.025707512370764317,-6.244656103819457e-05,0.005959847368085921,0.5169402884763126,0.21822076805984375,,,,-0.024765789962512913,,,0.49079615766672524,0.5135853621442493,0.0007720606741484162,-0.07619398671815342,0.2894945516643465,0.2310559100638944
2012-01-12,-0.15156625409918498,0.012685610043714811,0.4630381398960188,0.1525066771770278,4.925392552908148e-08,0.18283077658003924,0.1044241159618022,0.4627469588257666,1.0910765960873245,0.0001236981918544284,2.064699118921504,0.13370780408069496,0.0007556218817221023,0.12696096186814487,0.10265317886400639,0.22079586441376803,0.03422172375271736,0.518608330095753,0.2764681462214534,0.00793162755076489,0.2895816055871429,0.0008764263105277912,0.39908441796232125,0.5367907546707922,0.44155888846813746,0.04285481686881174,-0.052907166658494695,,,0.028100317459319138,,0.0003072388186647248,-0.022264699035132552,-9.545938567022842e-06,0.00812710084140177,0.535416711609544,0.21059357783813026,,,,-0.015378795228233936,,,0.5489701526900153,0.5614924296721744,0.001571857690743722,-0.06954137347796777,0.29486290023460915,0.2636073712030393
2012-01-13,-0.14150514600862815,0.01849609684295228,0.4602171735243004,0.1772856553151102,8.709116862125424e-05,0.2108711775284219,0.15561037564821587,0.44207864748276715,1.112345778262795,0.0001636268788965772,2.147010280758075,0.13294501669669867,0.001197762275925935,0.1356766542413694,0.11243664105183934,0.24367465112250714,0.040579555556622245,0.5290645109478651,0.3044579853316532,0.010881205795663653,0.30992986143343254,0.002400825943090359,0.3993203372799052,0.5438731014655289,0.4421444909420727,0.05155375069377633,-0.04556827713181643,,,0.03198438719170869,,0.0018952913741443955,-0.017978260130017416,-6.133577014759228e-08,0.009894851270008996,0.5471986655306508,0.20420286860598114,,,,-0.009391625089987057,,,0.5971959120486384,0.5752105818885604,0.0028998673284687665,-0.06313052924705126,0.28957345276046076,0.2931382384378442
2012-01-16,-0.1284744067698018,0.028629074354330007,0.46776725313327383,0.20601187552187034,0.0006882436717747128,0.239172636991109,0.21833235376212384,0.4357926596544535,1.1496727494303105,0.00029575932907668543,2.2783041331182794,0.12909077331310967,0.001977235654215475,0.14416691895570155,0.1317566148052865,0.2852249707304423,0.053896851419309215,0.5401179358816404,0.34155403427023834,0.018212733238335707,0.3322455753752069,0.005533311116446809,0.4249649081248982,0.543945817972003,0.44116939227801183,0.05806504620862352,-0.03901526187833283,,,0.04882540474574204,,0.007575324406547412,-0.013963785994761798,8.354007868651694e-07,0.012835739624386217,0.5573850711551,0.19099101665853513,,,,-0.00559962831153838,,,0.6646386748238311,0.5920760139101181,0.005770287586642951,-0.05694142362307888,0.2933893698543354,0.33080095748064325
2012-01-17,-0.11795928233410852,0.03908987148715349,0.4804081352439705,0.23665528377119147,0.002413890868056551,0.27306905365806916,0.29147388065809654,0.42751146640258425,1.179388238226809,0.00047412420155033055,2.426506051085133,0.12422814124847165,0.0030424104038327396,0.15298971196336936,0.15141243015742836,0.30858975595966337,0.06645436388799339,0.552417654617761,0.37115623423098326,0.023701483512087982,0.34764460362353655,0.010750683686072595,0.4520604960828712,0.5347566215607723,0.44305398869832774,0.07145262753932659,-0.0323646767432725,,,0.06617333250631627,,0.014459531021790758,-0.010714893621322134,2.5263191154142284e-05,0.01715937973292165,0.5660734501931985,0.1832125355988906,,,,-0.002923862688454001,,,0.7186814460702103,0.6074417041984098,0.008566183484697345,-0.052377985401344515,0.28571122846939534,0.3648635638301816
2012-01-18,-0.11142155264752232,0.05068419482361064,0.47992101996120623,0.2638790543175707,0.0058730535465422486,0.3044653164258184,0.38342669648123956,0.41149843224950855,1.2024461965775834,0.0006996855909978907,2.5824754847228273,0.1161046980909332,0.0038654143131970813,0.16040437769776392,0.17357157750600194,0.33276424184867376,0.0849123607507493,0.5638009566747173,0.40566676313724653,0.030493327571218382,0.35967109269733044,0.018129164660505712,0.4728226845447267,0.5331603895877967,0.44342941109354916,0.08206971415315698,-0.025248447867997747,,,0.09134497351098068,,0.022772833565980574,-0.0072264227350139895,0.0001346787190919033,0.022167725335093053,0.5734969238867906,0.1783318595742433,,,,-0.0017199411541629801,,,0.7656323406058841,0.6323163614052721,0.012735301594970059,-0.04754609918501926,0.272895595892059,0.3977876674068488
2012-01-19,-0.10366245346635292,0.06396511826973018,0.4803055345276856,0.3024959486991513,0.011539086405046119,0.32914749340784627,0.4786221665484824,0.39614158536987054,1.2314706708908927,0.0009381263563038401,2.7141482352655224,0.10869230593880831,0.004710187168070951,0.16972017118779822,0.19727091227766522,0.3545011752824313,0.1077887534181492,0.5731984225727833,0.4556460740422687,0.039024116410472674,0.3645777520334308,0.028990457441362617,0.4944326243513855,0.536254988343712,0.43282210509372576,0.09685553950013139,-0.01937846845258971,,,0.11556054657983778,,0.03129733053130069,-0.004857367093296306,0.00022413589582412986,0.027296196029074484,0.5765425135930685,0.1747716172788119,,,,-0.0006541380012173624,,,0.8204640020291586,0.652961925374419,0.017741223554833953,-0.04482915589516718,0.26290823827248017,0.4278559400855808
2012-01-20,-0.09571224432927918,0.0793906755274855,0.480411913502812,0.34775594559392076,0.02168158268792646,0.3649546148880703,0.5906329723257813,0.38699396197460256,1.265835037810943,0.0012335796772122583,2.8409556348064258,0.09915165684021753,0.006675007573437691,0.18109004450954103,0.22230588484915248,0.37169706200721025,0.1365771862343707,0.5850403782361546,0.5061198950879322,0.048304891534932205,0.3715113860307804,0.04534378539647118,0.5314573109314292,0.5398565268621335,0.43182383717475137,0.11396357928793982,-0.014023080061594032,,,0.15171440013019935,,0.04249941301440828,-0.0026100777169655994,0.0004883817109772773,0.034154422789471284,0.5795792211871524,0.183503018900594,,,,-0.00011146988439144822,,,0.8755484251225757,0.6833367186248184,0.02612954806617286,-0.04125397028770467,0.25887917485000345,0.46906749066499787
2012-01-25,-0.08776652423715574,0.10119851478099372,0.4908180364601422,0.3990629314048419,0.04118701343673153,0.4041318157836291,0.7015110546514852,0.38205944550531973,1.3247063702342567,0.0014930486773967956,2.9351201830495928,0.09424796211238685,0.010154470147674725,0.19628043873130202,0.25175422780486606,0.3932329880111894,0.17409950680400205,0.5983606613556897,0.5710312106350497,0.059328495866020646,0.3879466896532024,0.06633562856785187,0.5691142851042478,0.5487406104615798,0.4347844384555069,0.12849671040858499,-0.009070995134459607,,,0.18068371096702818,,0.053846327479662934,-0.001015468788478727,0.0009813178519227064,0.042509072792898256,0.5867167697241438,0.19144681339126385,,,,6.99103378520393e-09,,,0.9342994003353906,0.6999464553438307,0.03510657044829692,-0.03681540814354636,0.2545764037156823,0.5090400290814849
2012-01-26,-0.07809647344853661,0.12122993161501412,0.48973273330713385,0.45199078830948214,0.0680994263404542,0.45258721775424854,0.8008989938844475,0.370008862276541,1.3685782694561746,0.001330628854283792,3.003700016556611,0.08623019238906796,0.014592278363411877,0.21032080913619586,0.2830735943357285,0.4112399344919123,0.20694337484206463,0.6224925410124102,0.62945479508273,0.06971430279114653,0.3982866618024684,0.08755100679334032,0.598922634132207,0.5477001005476682,0.43449218034948,0.14910697401955442,-0.005546129279024925,,,0.21895813441707646,,0.06778853035117706,-0.00025038622585263473,0.0014039350925849846,0.050684976671901937,0.5886351132025782,0.19148621085524314,,,,0.00010221043473077952,,,0.9920077508033472,0.7102099402483432,0.04612607152730163,-0.03413772914392727,0.2477071206339264,0.5388781866889988
